species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Fe V,1100.1380,0.0060,3d3.(4P).4p 5D* J=3,3d3.(4F).4d 5D J=3,1.4e+09,3.6e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1100.8640,0.0060,3d3.(4P).4p 3P* J=1,3d3.(4F).4d 5D J=2,5.0e+08,3.1e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1101.0730,0.0060,3d3.(4P).4p 3D* J=2,3d3.(4P).4d 3D J=3,5.e+08,1.7e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1101.9210,0.0040,3d3.(2D2).4s 3D J=3,3d3.(2F).4p 3D* J=3,6.e+08,1.4e-02,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Fe V,1102.7500,0.0060,3d3.(4P).4p 3D* J=1,3d3.(4P).4d 3D J=2,4.e+08,2.4e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1102.8400,0.0120,3d3.(4P).4p 3D* J=2,3d3.(4P).4d 3D J=2,6.0e+08,2.2e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1103.3000,0.0060,3d3.(2H).4p 1H* J=5,3d3.(2G).4d 3H J=6,9.e+08,1.5e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1103.6390,0.0060,3d3.(4F).4p 3F* J=3,3d3.(4F).4d 5P J=2,2.e+08,4.e-03,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1103.7920,0.0060,3d3.(4P).4p 5D* J=2,3d3.(4F).4d 5D J=1,4.8e+08,1.7e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1104.0760,0.0060,3d3.(2P).4p 3F* J=3,3d3.(4P).4d 3D J=3,3.e+08,7.e-03,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1104.4890,0.0060,3d3.(4P).4p 3S* J=1,3d3.(4P).4d 3P J=2,3.9e+09,2.4e-01,NIST_ASD_v5.12;L11803;T9277,,,,,
Fe V,1104.5420,0.0060,3d3.(4P).4p 5D* J=3,3d3.(4F).4d 5D J=2,9.0e+08,2.3e-02,NIST_ASD_v5.12;L11803;T9277,,,,,
