obsid,instrument,grating,aperture,date_obs_mjd,exptime_s,wavemin_ang,wavemax_ang,pipeline_version,data_rights,local_path
24919833,STIS/FUV-MAMA,E140H,,51164.46825142361,2703.0,1140.0,1700.0,,PUBLIC,
24925716,STIS/NUV-MAMA,E230H,,51621.12005494213,2304.0,1620.0,3150.0,,PUBLIC,
24925718,STIS/NUV-MAMA,E230H,,51621.24358495371,3000.0,1620.0,3150.0,,PUBLIC,
24925717,STIS/NUV-MAMA,E230H,,51621.17652496528,3000.0,1620.0,3150.0,,PUBLIC,
24941882,STIS/FUV-MAMA,E140H,,52169.70064591435,851.0,1140.0,1700.0,,PUBLIC,
24941888,STIS/FUV-MAMA,E140H,,52169.83474297453,1996.0,1140.0,1700.0,,PUBLIC,
24941891,STIS/NUV-MAMA,E230H,,52170.691259259256,455.0,1620.0,3150.0,,PUBLIC,
24941892,STIS/NUV-MAMA,E230H,,52170.70087739584,997.0,1620.0,3150.0,,PUBLIC,
24941901,STIS/NUV-MAMA,E230H,,52170.89186111111,609.6,1620.0,3150.0,,PUBLIC,
24941908,STIS/NUV-MAMA,E230H,,52171.70430335648,769.0,1620.0,3150.0,,PUBLIC,
24941914,STIS/NUV-MAMA,E230H,,52171.83914112269,1232.0,1620.0,3150.0,,PUBLIC,
24941917,STIS/NUV-MAMA,E230H,,52171.90943075231,1862.0,1620.0,3150.0,,PUBLIC,
24941926,STIS/NUV-MAMA,E230H,,52165.006178159725,2228.0,1620.0,3150.0,,PUBLIC,
24941911,STIS/NUV-MAMA,E230H,,52171.77577334491,978.0,1620.0,3150.0,,PUBLIC,
24941886,STIS/FUV-MAMA,E140H,,52169.780703703706,887.0,1140.0,1700.0,,PUBLIC,
24941880,STIS/FUV-MAMA,E140H,,52169.656838159724,33.0,1140.0,1700.0,,PUBLIC,
24941899,STIS/NUV-MAMA,E230H,,52170.84851628472,620.0,1620.0,3150.0,,PUBLIC,
24919832,STIS/FUV-MAMA,E140H,,51164.39864510416,2789.0,1140.0,1700.0,,PUBLIC,
24925721,STIS/NUV-MAMA,E230H,,51622.04820309028,3000.0,1620.0,3150.0,,PUBLIC,
24925706,STIS/FUV-MAMA,E140H,,51620.03652496528,3000.0,1140.0,1700.0,,PUBLIC,
24941890,STIS/NUV-MAMA,E230H,,52170.66703480324,654.0,1620.0,3150.0,,PUBLIC,
24941915,STIS/NUV-MAMA,E230H,,52171.8577522338,549.0,1620.0,3150.0,,PUBLIC,
24941925,STIS/NUV-MAMA,E230H,,52164.96490517361,774.0,1620.0,3150.0,,PUBLIC,
24941876,STIS/FUV-MAMA,E140H,,52169.60173371528,56.0,1140.0,1700.0,,PUBLIC,
24941895,STIS/NUV-MAMA,E230H,,52170.77234741898,808.0,1620.0,3150.0,,PUBLIC,
24925714,STIS/NUV-MAMA,E230H,,51622.18231200232,3000.0,1620.0,3150.0,,PUBLIC,
24925710,STIS/FUV-MAMA,E140H,,51620.30474236111,3000.0,1140.0,1700.0,,PUBLIC,
