species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Fe V,1149.1179,0.004,2143,,Hu2021_table,OK,1149.118,3d3.(2D2).4s 1D J=2,3d3.(2F).4p 1D* J=2,700000000.0,0.027,2143,line_0000,0.004
Ni V,1167.102,0.005,2415,,Lee2025_2410.01849,OK,1167.102,3d5.(4G).4s 5G J=2,3d5.(4D).4p 5F* J=1,873000000.0,0.0356,2415,line_0001,0.005
Ni V,1182.606,0.005,2791,,Lee2025_2410.01849,OK,1182.607,3d5.(4P).4s 5P J=1,3d5.(4D).4p 5D* J=2,1320000000.0,0.0927,2791,line_0002,0.005
Ni V,1185.944,0.005,3588,,Lee2025_2410.01849,OK,1185.941,3d5.(4P).4s 5P J=2,3d5.(4D).4p 5D* J=3,2440000000.0,0.103,3588,line_0003,0.005
Fe V,1195.0981,0.004,3503,,Hu2021_table,OK,1195.103,3d3.(2G).4s 3G J=3,3d3.(2H).4p 3G* J=3,340000000.0,0.0104,3503,line_0004,0.004
Ni V,1195.189,0.002,3065,,Lee2025_2410.01849,OK,1195.191,3d5.(2G2).4s 1G J=4,3d5.(2F2).4p 3G* J=5,4330000000.0,0.103,3065,line_0005,0.002
Ni V,1198.519,0.002,3739,,Lee2025_2410.01849,OK,1198.516,3d5.(2F2).4s 3F J=4,3d5.(2F2).4p 3G* J=5,4550000000.0,0.109,3739,line_0006,0.002
Fe V,1198.5945,0.004,4284,,Hu2021_table,OK,1198.593,3d3.(4P).4s 3P J=0,3d3.(2P).4p 1P* J=1,20000000.0,0.005,4284,line_0007,0.004
Fe V,1200.1811,0.004,3155,,Hu2021_table,OK,1200.183,3d3.(2G).4s 3G J=4,3d3.(2H).4p 3G* J=4,450000000.0,0.0108,3155,line_0008,0.004
Ni V,1202.034,0.005,3605,,Lee2025_2410.01849,OK,1202.032,3d5.(2F2).4s 3F J=3,3d5.(2F2).4p 3G* J=4,5720000000.0,0.177,3605,line_0009,0.005
Ni V,1204.727,0.002,2833,,Lee2025_2410.01849,OK,1204.725,3d5.(4F).4s 3F J=4,3d5.(2G2).4p 1H* J=5,551000000.0,0.0133,2833,line_0010,0.002
Fe V,1207.1183,0.004,2538,,Hu2021_table,OK,1207.115,3d3.(2G).4s 3G J=5,3d3.(2H).4p 1I* J=6,,,2538,line_0011,0.004
Fe V,1208.2606,0.004,2890,,Hu2021_table,OK,1208.257,3d3.(2G).4s 3G J=5,3d3.(2H).4p 3G* J=5,580000000.0,0.0116,2890,line_0012,0.004
Fe V,1214.713,0.004,3027,,Hu2021_table,OK,1214.711,3d3.(4P).4s 3P J=2,3d3.(2P).4p 1P* J=1,200000000.0,0.009,3027,line_0013,0.004
Fe V,1217.9973,0.004,3595,,Hu2021_table,OK,1217.993,3d3.(4P).4s 3P J=0,3d3.(4P).4p 3S* J=1,270000000.0,0.059,3595,line_0014,0.004
Fe V,1224.4142,0.004,1613,,Hu2021_table,OK,1224.417,3d3.(2D2).4s 1D J=2,3d3.(2F).4p 3F* J=2,35000000.0,0.0016,1613,line_0015,0.004
Fe V,1228.1263,0.004,2799,,Hu2021_table,OK,1228.126,3d3.(4P).4s 5P J=1,3d3.(2D2).4p 3F* J=2,,,2799,line_0016,0.004
Ni V,1233.324,0.013,1995,,Lee2025_2410.01849,OK,1233.329,3d5.(4G).4s 5G J=3,3d5.(4G).4p 5F* J=2,2620000000.0,0.0855,1995,line_0017,0.013
Ni V,1234.397,0.002,2256,,Lee2025_2410.01849,OK,1234.398,3d5.(4G).4s 5G J=2,3d5.(4G).4p 5F* J=1,2540000000.0,0.116,2256,line_0018,0.002
Ni V,1234.584,0.002,3628,,Lee2025_2410.01849,OK,1234.585,3d5.(2D2).4s 3D J=3,3d5.(2D2).4p 3D* J=3,3040000000.0,0.0991,3628,line_0019,0.002
Fe V,1234.6455,0.004,2338,,Hu2021_table,OK,1234.648,3d3.(4P).4s 3P J=2,3d3.(4P).4p 3S* J=1,2100000000.0,0.096,2338,line_0020,0.004
Ni V,1235.838,0.002,3429,,Lee2025_2410.01849,OK,1235.838,3d5.(2I).4s 1I J=6,3d5.(4F).4p 5G* J=6,10600000000.0,0.187,3429,line_0021,0.002
Ni V,1237.205,0.002,2590,,Lee2025_2410.01849,OK,1237.206,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5D* J=1,1780000000.0,0.0817,2590,line_0022,0.002
Ni V,1241.333,0.005,2656,,Lee2025_2410.01849,OK,1241.334,3d5.(4F).4s 5F J=3,3d5.(4F).4p 5F* J=2,3590000000.0,0.119,2656,line_0023,0.005
Ni V,1241.64,0.002,3610,,Lee2025_2410.01849,OK,1241.641,3d5.(2I).4s 3I J=5,3d5.(2I).4p 3H* J=4,8210000000.0,0.172,3610,line_0024,0.002
Ni V,1241.988,0.002,2687,,Lee2025_2410.01849,OK,1241.991,3d5.(4F).4s 5F J=5,3d5.(4F).4p 5F* J=4,4170000000.0,0.0876,2687,line_0025,0.002
