line_id,species,lambda0_ang,lambda_obs,sigma_lambda_obs,depth,width,continuum_c0,continuum_c1,chi2_local,reduced_chi2_local,asymmetry,snr,window_contam,flags,n_components,join_flag,q_cm1,exclusion_reason
line_0001,Ni V,1167.102,1167.2126326083542,0.007672693356639927,-0.2470698843405983,0.20936927749482592,1.0308957619125048,0.01716722538166586,296.1284742080546,1.9741898280536976,0.3529891140564548,15.614397518253591,0.1275454133573556,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2415,
line_0012,Fe V,1208.2606,1208.4193455846207,0.00966694524779031,-0.09323300089551934,0.18104518591158547,1.0045069039605814,0.010259024133433648,105.46647724243235,0.7031098482828824,0.37597662769486523,9.658312811571104,0.16057524830257344,BLEND_SUSPECT;MULTI_MINIMA,2,OK,2890,
line_0059,Ni V,1269.384,1269.4863146161958,0.002141852220819935,-0.03662217487940411,0.022385866382816623,0.6476740664761618,0.0347336241486872,253.3158368656541,1.6887722457710272,-0.3816722240794662,9.349193586391563,0.35387160513864657,BLEND_SUSPECT;MULTI_MINIMA,2,OK,4191,
line_0213,Fe V,1411.0703,1411.565927140921,0.0009307692095212326,-0.1237492722171718,0.016829223610244984,1.098853196246174,0.1974447588010064,235.85748527374307,1.5723832351582872,-0.2850404971972256,7.476125275490738,0.30092985038698905,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3620,
line_0274,Fe V,1474.2722,1474.4284155813061,0.006962470131710614,-0.2292797049841082,0.19282725464013462,1.0191842703959246,0.020821765252956915,481.61025863270993,3.2107350575513993,0.4512896848296948,25.218424720582558,0.11310435781022264,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,3111,
line_0299,Fe V,1516.7993,1517.0425347694147,0.00993425093227792,-0.10178048689080288,0.14255341179448233,1.0033852083777544,0.007116033863396222,363.238040055115,2.4215869337007665,-0.45072278463198756,10.497652323331527,0.22719515133327323,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2965,
line_0302,Fe V,1530.4401,1530.3828990317613,0.009404284073111717,-0.12627811102898245,0.2085416077941024,1.1149934400053754,-0.21751018989454324,536.253298763299,3.5750219917553263,-0.23101379402171338,9.646132525642004,0.39159757818324903,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2013,
line_0307,Fe V,1555.4456,1555.8247012787556,0.008889741446251749,-0.11420204899722564,0.22890933365584987,1.1851907134152737,0.35258038391382,195.06460052793472,1.3004306701862314,0.43525704718010977,8.194088351977406,0.28217446599565776,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2074,
line_0312,Fe V,1569.981,1570.076646113199,0.007853835557795305,-0.2541573415736964,0.19486624513025907,1.0231793700250742,-0.00362153698287317,377.3692952216396,2.5157953014775973,0.4994584147504249,19.26419082939277,0.12085384859049236,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,2684,
line_0331,Fe V,1617.04,1617.2123824418632,0.009820004880786834,-0.29026248685579636,0.20635116265518355,1.021611899455934,0.05070732430664954,583.2566097301057,3.888377398200704,0.3591667359416806,14.887226782556775,0.1993224701741408,BLEND_SUSPECT;MULTI_MINIMA;SATURATED,2,OK,630,
