run_name,species_set,distortion_model,continuum_setting,N_lines_gold,delta_alpha_over_alpha,sigma,jitter,fit_metric,notes
default_cauchy_deg0_Fe_full,Fe,poly_deg0,default,8,-0.0017257850692248171,0.0009499032842027779,6.412223969619014e-05,3.973420031447759,
default_cauchy_deg0_Fe_blue,Fe,poly_deg0,default,4,-0.005479365334640773,0.0026901474042767028,6.253507353852543e-05,5.359614766795477,
default_cauchy_deg0_Fe_red,Fe,poly_deg0,default,4,0.00038962826996258575,0.0013858195999456797,6.412223969619014e-05,9.776079671572015,
default_cauchy_deg0_Ni_full,Ni,poly_deg0,default,2,0.00028247627111898586,0.00017876357761931425,1.5462454323397155e-07,4.508378662944823e-05,
default_cauchy_deg0_Ni_blue,Ni,poly,default,1,,,,,insufficient lines
default_cauchy_deg0_Ni_red,Ni,poly,default,1,,,,,insufficient lines
default_cauchy_deg0_both_full,both,poly_deg0,default,10,-0.0011524888813449748,0.0008342037128526087,6.412223969619014e-05,3.19467796934368,
default_cauchy_deg0_both_blue,both,poly_deg0,default,5,-0.0019195653629769155,0.0012767456547348225,5.4465479892515125e-05,7.359865307948766,
default_cauchy_deg0_both_red,both,poly_deg0,default,5,-0.0002932403438886269,0.001204494193270041,6.557301652748315e-05,5.0958282535602315,
default_cauchy_deg1_Fe_full,Fe,poly_deg1,default,8,-0.001545349139014474,0.0010147749586073313,6.412223969619014e-05,4.902620458014686,
default_cauchy_deg1_Fe_blue,Fe,poly_deg1,default,4,-0.012614875411842098,0.0003014598209847404,3.000002785861536e-07,174.55092591033275,
default_cauchy_deg1_Fe_red,Fe,poly_deg1,default,4,-0.0004181159449231339,0.0001769321823447679,3.0000003792385806e-07,926.9928020857551,
default_cauchy_deg1_Ni_full,Ni,poly_deg1,default,2,6.976368632332186e-07,3.929519486576463e-07,2.999999999997918e-07,1.7360711062656505e-06,
default_cauchy_deg1_Ni_blue,Ni,poly,default,1,,,,,insufficient lines
default_cauchy_deg1_Ni_red,Ni,poly,default,1,,,,,insufficient lines
default_cauchy_deg1_both_full,both,poly_deg1,default,10,-0.002647901113231932,8.196985176675319e-05,3.0000011240707606e-07,813.9265705016619,
default_cauchy_deg1_both_blue,both,poly_deg1,default,5,-0.0007021602311307753,0.001718778272496294,5.4465479892515125e-05,13.602579000986484,
default_cauchy_deg1_both_red,both,poly_deg1,default,5,-0.0005586137818476282,0.00017683332970392656,3.0000002631967254e-07,1052.8318044741102,
default_cauchy_deg2_Fe_full,Fe,poly_deg2,default,8,0.0003291108943894194,0.0001811600572694923,3.000001382866254e-07,914.2429745830195,
default_cauchy_deg2_Fe_blue,Fe,poly_deg2,default,4,-0.02840042281140167,0.0012202939766584196,1.9285425543269888e-07,0.007145572494626582,
default_cauchy_deg2_Fe_red,Fe,poly_deg2,default,4,0.010877755007667307,0.00041094364209971675,3.0000009053674127e-07,0.00024838366609148245,
default_cauchy_deg2_Ni_full,Ni,poly_deg2,default,2,6.981459007790549e-07,3.870585286147212e-07,2.9999999999979125e-07,1.5839845144107088e-06,
default_cauchy_deg2_Ni_blue,Ni,poly,default,1,,,,,insufficient lines
default_cauchy_deg2_Ni_red,Ni,poly,default,1,,,,,insufficient lines
default_cauchy_deg2_both_full,both,poly_deg2,default,10,0.002573897123676576,0.00016521696274794987,3.0000017424395325e-07,702.035580196047,
default_cauchy_deg2_both_blue,both,poly_deg2,default,5,0.018845157408776785,0.0005624926288058539,3.000007483349027e-07,399.6713468557568,
default_cauchy_deg2_both_red,both,poly_deg2,default,5,-0.0004226870728887651,0.00021908600411644762,3.000000343395632e-07,1051.6915677913523,
default_linear_deg0_Fe_full,Fe,poly_deg0,default,8,-0.0017257850692248171,0.0009499032842027779,6.412223969619014e-05,3.973420031447759,
default_linear_deg0_Fe_blue,Fe,poly_deg0,default,4,-0.005479365334640773,0.0026901474042767028,6.253507353852543e-05,5.359614766795477,
default_linear_deg0_Fe_red,Fe,poly_deg0,default,4,0.00038962826996258575,0.0013858195999456797,6.412223969619014e-05,9.776079671572015,
default_linear_deg0_Ni_full,Ni,poly_deg0,default,2,0.00028247627111898586,0.00017876357761931425,1.5462454323397155e-07,4.508378662944823e-05,
default_linear_deg0_Ni_blue,Ni,poly,default,1,,,,,insufficient lines
default_linear_deg0_Ni_red,Ni,poly,default,1,,,,,insufficient lines
default_linear_deg0_both_full,both,poly_deg0,default,10,-0.0011524888813449748,0.0008342037128526087,6.412223969619014e-05,3.19467796934368,
default_linear_deg0_both_blue,both,poly_deg0,default,5,-0.0019195653629769155,0.0012767456547348225,5.4465479892515125e-05,7.359865307948766,
default_linear_deg0_both_red,both,poly_deg0,default,5,-0.0002932403438886269,0.001204494193270041,6.557301652748315e-05,5.0958282535602315,
default_linear_deg1_Fe_full,Fe,poly_deg1,default,8,-0.001545349139014474,0.0010147749586073313,6.412223969619014e-05,4.902620458014686,
default_linear_deg1_Fe_blue,Fe,poly_deg1,default,4,-0.012614875411842098,0.0003014598209847404,3.000002785861536e-07,174.55092591033275,
default_linear_deg1_Fe_red,Fe,poly_deg1,default,4,-0.0004181159449231339,0.0001769321823447679,3.0000003792385806e-07,926.9928020857551,
default_linear_deg1_Ni_full,Ni,poly_deg1,default,2,6.976368632332186e-07,3.929519486576463e-07,2.999999999997918e-07,1.7360711062656505e-06,
default_linear_deg1_Ni_blue,Ni,poly,default,1,,,,,insufficient lines
default_linear_deg1_Ni_red,Ni,poly,default,1,,,,,insufficient lines
default_linear_deg1_both_full,both,poly_deg1,default,10,-0.002647901113231932,8.196985176675319e-05,3.0000011240707606e-07,813.9265705016619,
default_linear_deg1_both_blue,both,poly_deg1,default,5,-0.0007021602311307753,0.001718778272496294,5.4465479892515125e-05,13.602579000986484,
default_linear_deg1_both_red,both,poly_deg1,default,5,-0.0005586137818476282,0.00017683332970392656,3.0000002631967254e-07,1052.8318044741102,
default_linear_deg2_Fe_full,Fe,poly_deg2,default,8,0.0003291108943894194,0.0001811600572694923,3.000001382866254e-07,914.2429745830195,
default_linear_deg2_Fe_blue,Fe,poly_deg2,default,4,-0.02840042281140167,0.0012202939766584196,1.9285425543269888e-07,0.007145572494626582,
default_linear_deg2_Fe_red,Fe,poly_deg2,default,4,0.010877755007667307,0.00041094364209971675,3.0000009053674127e-07,0.00024838366609148245,
default_linear_deg2_Ni_full,Ni,poly_deg2,default,2,6.981459007790549e-07,3.870585286147212e-07,2.9999999999979125e-07,1.5839845144107088e-06,
default_linear_deg2_Ni_blue,Ni,poly,default,1,,,,,insufficient lines
default_linear_deg2_Ni_red,Ni,poly,default,1,,,,,insufficient lines
default_linear_deg2_both_full,both,poly_deg2,default,10,0.002573897123676576,0.00016521696274794987,3.0000017424395325e-07,702.035580196047,
default_linear_deg2_both_blue,both,poly_deg2,default,5,0.018845157408776785,0.0005624926288058539,3.000007483349027e-07,399.6713468557568,
default_linear_deg2_both_red,both,poly_deg2,default,5,-0.0004226870728887651,0.00021908600411644762,3.000000343395632e-07,1051.6915677913523,
smooth_cauchy_deg0_Fe_full,Fe,poly_deg0,smooth,2,-0.00023113522764891612,0.0009217369530261646,2.4693919953603516e-08,0.0028142388025017323,
smooth_cauchy_deg0_Fe_blue,Fe,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg0_Fe_red,Fe,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg0_Ni_full,Ni,poly_deg0,smooth,2,0.004344979183409571,0.0003088795499780342,3.00000002693136e-07,0.00011429843858635095,
smooth_cauchy_deg0_Ni_blue,Ni,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg0_Ni_red,Ni,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg0_both_full,both,poly_deg0,smooth,4,0.0014749926547008296,0.002605827301628437,5.027483881774093e-05,4.159792412342041,
smooth_cauchy_deg0_both_blue,both,poly_deg0,smooth,2,-0.24077560245566218,0.014676685053959753,3.000444546852984e-07,0.16467993737181813,
smooth_cauchy_deg0_both_red,both,poly_deg0,smooth,2,-0.0017075148459216845,0.00041853678249027234,4.938107917665031e-08,0.001100231435953143,
smooth_cauchy_deg1_Fe_full,Fe,poly_deg1,smooth,2,-1.9634111443209167e-08,2.162471303998605e-07,2.999999999994475e-07,4.210914102092832e-06,
smooth_cauchy_deg1_Fe_blue,Fe,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg1_Fe_red,Fe,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg1_Ni_full,Ni,poly_deg1,smooth,2,2.385468409718363e-06,3.7485253001910035e-07,3.000000000097337e-07,4.188624352993224e-06,
smooth_cauchy_deg1_Ni_blue,Ni,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg1_Ni_red,Ni,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg1_both_full,both,poly_deg1,smooth,4,0.0014529683001652386,0.000319827500295341,3.0000001703615713e-07,146.51236304379725,
smooth_cauchy_deg1_both_blue,both,poly_deg1,smooth,2,-7.567306735155602e-08,2.59082462965331e-07,3.000000000122117e-07,4.812845644593827e-06,
smooth_cauchy_deg1_both_red,both,poly_deg1,smooth,2,-4.275475578154215e-07,3.420451925533411e-07,3.0000000000042435e-07,4.078326386284306e-06,
smooth_cauchy_deg2_Fe_full,Fe,poly_deg2,smooth,2,-1.9308498001960656e-08,2.0143128434234922e-07,2.9999999999945127e-07,3.784272739816409e-06,
smooth_cauchy_deg2_Fe_blue,Fe,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg2_Fe_red,Fe,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg2_Ni_full,Ni,poly_deg2,smooth,2,2.38641495712114e-06,3.603149173534848e-07,3.000000000095184e-07,3.926577458604022e-06,
smooth_cauchy_deg2_Ni_blue,Ni,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg2_Ni_red,Ni,poly,smooth,1,,,,,insufficient lines
smooth_cauchy_deg2_both_full,both,poly_deg2,smooth,4,-0.0017182229920269883,0.00040517858759804386,3.00000001030952e-07,0.0017341070184658544,
smooth_cauchy_deg2_both_blue,both,poly_deg2,smooth,2,-7.554557523531933e-08,2.4376927817709034e-07,3.00000000011844e-07,4.517540866806051e-06,
smooth_cauchy_deg2_both_red,both,poly_deg2,smooth,2,-4.274330306675928e-07,3.270506447968127e-07,3.0000000000039825e-07,3.6889685245468783e-06,
smooth_linear_deg0_Fe_full,Fe,poly_deg0,smooth,2,-0.00023113522764891612,0.0009217369530261646,2.4693919953603516e-08,0.0028142388025017323,
smooth_linear_deg0_Fe_blue,Fe,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg0_Fe_red,Fe,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg0_Ni_full,Ni,poly_deg0,smooth,2,0.004344979183409571,0.0003088795499780342,3.00000002693136e-07,0.00011429843858635095,
smooth_linear_deg0_Ni_blue,Ni,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg0_Ni_red,Ni,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg0_both_full,both,poly_deg0,smooth,4,0.0014749926547008296,0.002605827301628437,5.027483881774093e-05,4.159792412342041,
smooth_linear_deg0_both_blue,both,poly_deg0,smooth,2,-0.24077560245566218,0.014676685053959753,3.000444546852984e-07,0.16467993737181813,
smooth_linear_deg0_both_red,both,poly_deg0,smooth,2,-0.0017075148459216845,0.00041853678249027234,4.938107917665031e-08,0.001100231435953143,
smooth_linear_deg1_Fe_full,Fe,poly_deg1,smooth,2,-1.9634111443209167e-08,2.162471303998605e-07,2.999999999994475e-07,4.210914102092832e-06,
smooth_linear_deg1_Fe_blue,Fe,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg1_Fe_red,Fe,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg1_Ni_full,Ni,poly_deg1,smooth,2,2.385468409718363e-06,3.7485253001910035e-07,3.000000000097337e-07,4.188624352993224e-06,
smooth_linear_deg1_Ni_blue,Ni,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg1_Ni_red,Ni,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg1_both_full,both,poly_deg1,smooth,4,0.0014529683001652386,0.000319827500295341,3.0000001703615713e-07,146.51236304379725,
smooth_linear_deg1_both_blue,both,poly_deg1,smooth,2,-7.567306735155602e-08,2.59082462965331e-07,3.000000000122117e-07,4.812845644593827e-06,
smooth_linear_deg1_both_red,both,poly_deg1,smooth,2,-4.275475578154215e-07,3.420451925533411e-07,3.0000000000042435e-07,4.078326386284306e-06,
smooth_linear_deg2_Fe_full,Fe,poly_deg2,smooth,2,-1.9308498001960656e-08,2.0143128434234922e-07,2.9999999999945127e-07,3.784272739816409e-06,
smooth_linear_deg2_Fe_blue,Fe,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg2_Fe_red,Fe,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg2_Ni_full,Ni,poly_deg2,smooth,2,2.38641495712114e-06,3.603149173534848e-07,3.000000000095184e-07,3.926577458604022e-06,
smooth_linear_deg2_Ni_blue,Ni,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg2_Ni_red,Ni,poly,smooth,1,,,,,insufficient lines
smooth_linear_deg2_both_full,both,poly_deg2,smooth,4,-0.0017182229920269883,0.00040517858759804386,3.00000001030952e-07,0.0017341070184658544,
smooth_linear_deg2_both_blue,both,poly_deg2,smooth,2,-7.554557523531933e-08,2.4376927817709034e-07,3.00000000011844e-07,4.517540866806051e-06,
smooth_linear_deg2_both_red,both,poly_deg2,smooth,2,-4.274330306675928e-07,3.270506447968127e-07,3.0000000000039825e-07,3.6889685245468783e-06,
tight_cauchy_deg0_Fe_full,Fe,poly_deg0,tight,10,-0.001627330953410115,0.000987293939500409,4.426306480811295e-05,1.427087085280061,
tight_cauchy_deg0_Fe_blue,Fe,poly_deg0,tight,5,-0.0021497462510416815,0.0015606737505581638,4.3833738122705256e-05,4.101970210924555,
tight_cauchy_deg0_Fe_red,Fe,poly_deg0,tight,5,-0.0009203449889527937,0.0006430842500074887,2.057594683613147e-05,2.531195413236755,
tight_cauchy_deg0_Ni_full,Ni,poly_deg0,tight,8,0.00012952688834745528,0.0010627735084501242,5.034221242714321e-05,1.6079344873359827,
tight_cauchy_deg0_Ni_blue,Ni,poly_deg0,tight,4,-0.001508858592361023,0.0020041563718163355,5.5288710406271044e-05,3.97904554066918,
tight_cauchy_deg0_Ni_red,Ni,poly_deg0,tight,4,-0.001330192689733853,0.0004476087089035823,9.197209451517586e-06,3.612563331080529,
tight_cauchy_deg0_both_full,both,poly_deg0,tight,18,-0.0007168422130759269,0.0007426920938511023,4.900477359642667e-05,1.2016247912429134,
tight_cauchy_deg0_both_blue,both,poly_deg0,tight,9,-0.0007199754279946672,0.001347926385714162,5.937682949595991e-05,1.4966240381641314,
tight_cauchy_deg0_both_red,both,poly_deg0,tight,9,-0.0007034500886565166,0.0004245890987689463,2.0518865170754837e-05,1.5574264193701508,
tight_cauchy_deg1_Fe_full,Fe,poly_deg1,tight,10,-0.001700660534766374,0.00010342888105627041,3.0000001960028537e-07,121.15828695249685,
tight_cauchy_deg1_Fe_blue,Fe,poly_deg1,tight,5,-0.0009142378173201966,0.00020028749827633662,3.000000449300536e-07,530.4275884768972,
tight_cauchy_deg1_Fe_red,Fe,poly_deg1,tight,5,-0.0009876442435942207,0.00019283734001947323,3.000000039891441e-07,74.59970122851652,
tight_cauchy_deg1_Ni_full,Ni,poly_deg1,tight,8,-0.0029909590821137967,0.0002703095197843003,3.0000002589571243e-07,53.764687048025905,
tight_cauchy_deg1_Ni_blue,Ni,poly_deg1,tight,4,-0.0021477860677786083,0.00040164323003712827,3.0000001984137096e-07,181.6972146230823,
tight_cauchy_deg1_Ni_red,Ni,poly_deg1,tight,4,-0.008390805340127634,0.0011083832182999826,3.0000027582105517e-07,7.2287809859979735,
tight_cauchy_deg1_both_full,both,poly_deg1,tight,18,-0.0006521858425913638,0.0007000091185205025,4.605996914129564e-05,1.2867294009411336,
tight_cauchy_deg1_both_blue,both,poly_deg1,tight,9,-0.0014951807098371058,0.0016685960787597772,5.762284509890577e-05,1.793789553061351,
tight_cauchy_deg1_both_red,both,poly_deg1,tight,9,-0.0009070956452477802,0.00010106801192317203,3.0000000206898887e-07,21.51724538656173,
tight_cauchy_deg2_Fe_full,Fe,poly_deg2,tight,10,-0.0003966013324197612,0.00013005519549296485,3.000000120490315e-07,92.13079766723465,
tight_cauchy_deg2_Fe_blue,Fe,poly_deg2,tight,5,-0.002527176893446667,0.00021183325446098768,3.0000001019360364e-07,5.317750366711215,
tight_cauchy_deg2_Fe_red,Fe,poly_deg2,tight,5,-0.0013607969450473813,0.00024063169791175128,3.000000060768113e-07,68.14096575379074,
tight_cauchy_deg2_Ni_full,Ni,poly_deg2,tight,8,-0.0026211123394997695,0.00031489861492867106,3.0000004631269396e-07,69.81164664739745,
tight_cauchy_deg2_Ni_blue,Ni,poly_deg2,tight,4,-0.0009621110180568993,0.00041112623569695186,3.0000000012273077e-07,7.651503606434367e-05,
tight_cauchy_deg2_Ni_red,Ni,poly_deg2,tight,4,-0.010593552824046667,0.0013583647622089758,3.000003529545434e-07,0.06483889658996432,
tight_cauchy_deg2_both_full,both,poly_deg2,tight,18,-0.000534376777995873,7.432639481765621e-05,3.0000004993503856e-07,163.69614759536873,
tight_cauchy_deg2_both_blue,both,poly_deg2,tight,9,-0.0005751424990115503,0.0001685157716501648,3.0000020077099525e-07,495.4704220773925,
tight_cauchy_deg2_both_red,both,poly_deg2,tight,9,-0.0012180492204513873,0.00021200631843402138,3.000000048498663e-07,26.18993379269933,
tight_linear_deg0_Fe_full,Fe,poly_deg0,tight,10,-0.001627330953410115,0.000987293939500409,4.426306480811295e-05,1.427087085280061,
tight_linear_deg0_Fe_blue,Fe,poly_deg0,tight,5,-0.0021497462510416815,0.0015606737505581638,4.3833738122705256e-05,4.101970210924555,
