inject_delta_alpha,trial,recovered_delta_alpha,recovered_err,bias,pull,chi2,dof,n_lines
0.0,0,-0.0004652250901971433,3.0669681696604196e-05,-0.0004652250901971433,-15.168892028268226,4874.193652666849,65,69
0.0,1,0.00043793817289035673,3.070513239420061e-05,0.00043793817289035673,14.262702640978409,7459.11073772716,65,69
0.0,2,0.00014599970944795363,3.1499878317530906e-05,0.00014599970944795363,4.634929315479264,6264.868881039448,65,69
0.0,3,-0.00024179464476097653,3.0769672053892425e-05,-0.00024179464476097653,-7.858213254189981,8093.100745133075,65,69
0.0,4,0.0008922150883589764,3.256114999571241e-05,0.0008922150883589764,27.401215512242704,3805.5332218997287,65,69
0.0,5,-3.09075721239344e-05,3.194434524356335e-05,-3.09075721239344e-05,-0.9675443928581426,4332.65696378405,65,69
0.0,6,0.0008271482307586318,3.385154156879214e-05,0.0008271482307586318,24.434580891322913,8994.39177010378,65,69
0.0,7,2.7818337939867866e-05,3.089411995610499e-05,2.7818337939867866e-05,0.9004411836101089,4418.245560483247,65,69
0.0,8,-0.0003575005450694995,3.219520142832794e-05,-0.0003575005450694995,-11.10415618505625,6576.036788409964,65,69
0.0,9,6.932137280499684e-05,3.369684609677426e-05,6.932137280499684e-05,2.0572065589139177,6989.568888411613,65,69
0.0001,0,0.00014420602544915976,3.273027931519656e-05,4.420602544915975e-05,1.3506155881974107,6452.026814595619,65,69
0.0001,1,8.171073838391919e-06,3.2729818364284085e-05,-9.182892616160809e-05,-2.8056656208582873,6306.493505338451,65,69
0.0001,2,-0.0005802871102954808,3.2456979953308084e-05,-0.0006802871102954809,-20.959655250554036,5093.0752596293505,65,69
0.0001,3,-2.7789406463388552e-05,3.065887861152968e-05,-0.00012778940646338856,-4.168104387723159,5765.298207112531,65,69
0.0001,4,-0.0006307547226639435,3.4867531765789514e-05,-0.0007307547226639436,-20.95802844814292,5353.434357477388,65,69
0.0001,5,-0.00018918342835203998,3.0717754584022814e-05,-0.00028918342835203997,-9.41421117097057,7791.427279884344,65,69
0.0001,6,7.943889860567313e-05,3.064180801145907e-05,-2.0561101394326876e-05,-0.671014627682468,8444.893183518814,65,69
0.0001,7,-8.538082316733815e-05,3.0309425209752707e-05,-0.00018538082316733816,-6.116276434951591,5529.602237636607,65,69
0.0001,8,1.0705813762514595e-06,3.0328065120991483e-05,-9.892941862374854e-05,-3.2619759364495304,5048.724147585646,65,69
0.0001,9,0.0003107741942987061,3.2259221191637466e-05,0.00021077419429870608,6.533765742408714,7567.366618265695,65,69
0.0003,0,0.00018305689511193603,3.080425661165969e-05,-0.00011694310488806394,-3.796329395717341,6747.958623595261,65,69
0.0003,1,-0.00028129073428775756,3.155748680964904e-05,-0.0005812907342877575,-18.420057902393598,6776.259047583291,65,69
0.0003,2,0.0004046611901616955,3.1074769817643524e-05,0.0001046611901616955,3.368043939693846,6220.599581468161,65,69
0.0003,3,0.0007305949693027767,3.0378351355895184e-05,0.00043059496930277673,14.17440216745719,4955.57306735246,65,69
0.0003,4,0.000667147177876916,3.355611847610969e-05,0.000367147177876916,10.941288639754529,6235.291412001306,65,69
0.0003,5,0.0005462507688335456,3.2078160715755307e-05,0.00024625076883354565,7.676586292324381,5069.173455229809,65,69
0.0003,6,-0.000159201954538512,3.311834765565036e-05,-0.00045920195453851194,-13.865485057198105,7073.000336524006,65,69
0.0003,7,3.434317304171876e-05,3.0665447125281446e-05,-0.0002656568269582812,-8.663067128059788,5176.799613952421,65,69
0.0003,8,-6.312554186720808e-07,3.1715151260666716e-05,-0.00030063125541867204,-9.47910520583001,6716.527447592329,65,69
0.0003,9,0.00048437389502455763,3.0945711426003716e-05,0.00018437389502455766,5.957978877474702,6161.630434989799,65,69
