distortion_degree,likelihood,species,wavelength_split,n_lines,delta_alpha,delta_alpha_err,chi2,dof,condition_number,orthogonalized,notes
0,student_t,Fe,full,53,-0.0012582042907231784,4.0434493544792125e-05,13156.153426078261,50,1.0,False,
0,student_t,Fe,blue,26,-0.001439500317039044,6.359186089554898e-05,10392.219997854807,23,1.0,False,
0,student_t,Fe,red,27,-0.0001428942886968299,5.4111280062567075e-05,2137.2969640035976,24,1.0,False,
0,student_t,Ni,full,16,-7.942551895005925e-05,6.601171429510413e-05,14921.632919675636,13,1.0,False,
0,student_t,Ni,blue,8,-0.0010851549507611066,0.000319042544635691,420.7107272435132,5,1.0,False,
0,student_t,Ni,red,8,-0.0001657251625084907,6.913108239574607e-05,15320.96252285613,5,1.0,False,
0,student_t,both,full,69,-0.0006072918507221376,3.121412888935191e-05,33780.53146561606,66,1.0,False,
0,student_t,both,blue,34,-0.000196028921010292,4.4925306866026805e-05,28301.265493516505,31,1.0,False,
0,student_t,both,red,35,-0.00017188475366097862,4.61153392674873e-05,3199.57461157523,32,1.0,False,
0,gaussian,Fe,full,53,-0.0008546184538079885,0.00042702159774571374,68.29962658046632,50,1.0,False,
0,gaussian,Fe,blue,26,-0.002064445218122678,0.0007872705218267954,39.9273168408713,23,1.0,False,
0,gaussian,Fe,red,27,-0.00034218914917812576,0.0004998346988191032,27.103938693441503,24,1.0,False,
0,gaussian,Ni,full,16,0.0004485211043268021,0.0009173240204528365,21.85560529136057,13,1.0,False,
0,gaussian,Ni,blue,8,0.002124294081283099,0.002279970018572262,9.459430696067056,5,1.0,False,
0,gaussian,Ni,red,8,0.0006053371465623236,0.0007965194172759909,28.57532025906315,5,1.0,False,
0,gaussian,both,full,69,-0.0004546963317256897,0.0003743479648855241,95.90659866417788,66,1.0,False,
0,gaussian,both,blue,34,-0.0007468572167713532,0.0007028985226803725,52.28745594639487,31,1.0,False,
0,gaussian,both,red,35,-0.0003606239044647438,0.0004381119181082093,38.305372827109466,32,1.0,False,
1,student_t,Fe,full,53,-0.0004455592208364721,4.214778037236928e-05,15474.117573308937,49,3.9251155680748053,False,
1,student_t,Fe,blue,26,-0.0011980649960075765,6.469577918164546e-05,10858.542456994972,22,5.198423141807194,False,
1,student_t,Fe,red,27,-0.0003658700146214709,5.4663071807817716e-05,2129.7518764274514,23,4.055621622455388,False,
1,student_t,Ni,full,16,-0.00038863482420259875,6.621863590409615e-05,17604.47142087775,12,3.594497170083915,False,
1,student_t,Ni,blue,8,-0.00290005415886815,0.0003644699897950083,666.6022248296127,4,4.785860741587885,False,
1,student_t,Ni,red,8,-0.00037226694207742215,8.12605322884757e-05,17176.601640047535,4,3.7584900027512456,False,
1,student_t,both,full,69,-0.00045640379422144016,3.139228620018563e-05,30509.8115572994,65,3.9998615221241396,False,
1,student_t,both,blue,34,-0.00013339450763009988,4.483833997011555e-05,28651.84210011955,30,3.98452244267662,False,
1,student_t,both,red,35,-0.00034950456708790603,4.632490076288917e-05,3082.091949208891,31,4.44481185368664,False,
