trial,inject_value,recovered,sigma,bias,pull,inflation_factor
0,0.0,4.978365226857332e-05,0.9980810247076563,4.978365226857332e-05,4.9879369546330414e-05,0.5
1,0.0,2.7212915326488568e-05,6.612452775701797,2.7212915326488568e-05,4.11540410942298e-06,0.5
3,0.0,2.366857535002638e-05,0.37035917379485833,2.366857535002638e-05,6.390708540444144e-05,0.5
4,0.0,6.258919750533287e-05,1.470931975070093,6.258919750533287e-05,4.255070837137139e-05,0.5
5,0.0,4.501076678889011e-05,0.27972115541979814,4.501076678889011e-05,0.00016091298751193538,0.5
6,0.0,5.6190785779725436e-05,1.0051012163955633,5.6190785779725436e-05,5.590559922037865e-05,0.5
7,0.0,4.792380791054574e-05,0.9979233210931613,4.792380791054574e-05,4.802353737764968e-05,0.5
8,0.0,2.792873207007841e-05,1.0002117859779691,2.792873207007841e-05,2.7922818408674077e-05,0.5
9,0.0,5.345088569476275e-05,0.0940973171865789,5.345088569476275e-05,0.0005680383595717057,0.5
10,0.0,3.813360237764354e-05,1.7984356966742032,3.813360237764354e-05,2.120376194053696e-05,0.5
11,0.0,6.353804203679982e-05,6.677122947854917,6.353804203679982e-05,9.515781352687532e-06,0.5
12,0.0,3.766632185221169e-05,0.5780317855195307,3.766632185221169e-05,6.516306333977375e-05,0.5
13,0.0,2.2449305112843615e-05,4.180464239835672,2.2449305112843615e-05,5.370050746738612e-06,0.5
14,0.0,5.119924238390683e-05,0.9977983481791092,5.119924238390683e-05,5.13122140133232e-05,0.5
15,0.0,2.3629927201553773e-05,19.231735376151082,2.3629927201553773e-05,1.2286944854106513e-06,0.5
16,0.0,4.9072794478527285e-05,1.1441219945978904,4.9072794478527285e-05,4.2891225507621026e-05,0.5
17,0.0,3.856719916967433e-05,2.7793217213398433,3.856719916967433e-05,1.3876478880999073e-05,0.5
18,0.0,7.350462116599277e-05,0.015963230471060234,7.350462116599277e-05,0.004604620681211702,0.5
19,0.0,4.383400828133718e-05,0.12317181893593507,4.383400828133718e-05,0.00035587692590734903,0.5
20,0.0,4.283631104904037e-05,1.1693619873143197,4.283631104904037e-05,3.6632207574510576e-05,0.5
21,0.0,2.8809365674823776e-05,1.4452285633125044,2.8809365674823776e-05,1.9934124197484656e-05,0.5
22,0.0,4.5677546841525156e-05,0.9986410573857935,4.5677546841525156e-05,4.573970447509758e-05,0.5
23,0.0,4.147527724146264e-05,1.8328732526685518,4.147527724146264e-05,2.262855720169257e-05,0.5
24,0.0,6.003753905468438e-05,3.320050092403337,6.003753905468438e-05,1.8083323258301823e-05,0.5
26,0.0,6.0220789390309754e-05,0.23481960085209566,6.0220789390309754e-05,0.0002564555478835033,0.5
27,0.0,2.8678625253315376e-05,0.9560600372223214,2.8678625253315376e-05,2.999667817581468e-05,0.5
28,0.0,6.820029989935361e-06,0.42257228380576783,6.820029989935361e-06,1.6139321605555503e-05,0.5
29,0.0,4.9405882903052465e-05,2.085622788316626,4.9405882903052465e-05,2.3688791271277563e-05,0.5
30,0.0,4.629280749394661e-05,7.044459494401569,4.629280749394661e-05,6.571520147250021e-06,0.5
31,0.0,6.160042662337196e-05,6.0428355942559895,6.160042662337196e-05,1.0193960378787432e-05,0.5
32,0.0,2.5966273708012213e-05,2.7917890980476323,2.5966273708012213e-05,9.300943873651156e-06,0.5
33,0.0,5.399826710256516e-05,2.2853692422842293,5.399826710256516e-05,2.3627808628680863e-05,0.5
34,0.0,3.597197106242648e-05,2.8088788162577,3.597197106242648e-05,1.2806522963618747e-05,0.5
35,0.0,3.6351254314100545e-05,0.3251268783166275,3.6351254314100545e-05,0.00011180636464850985,0.5
36,0.0,4.869721238067783e-05,1.2856194622925743,4.869721238067783e-05,3.787840322037345e-05,0.5
37,0.0,6.17319580684718e-05,1.0007403359951017,6.17319580684718e-05,6.16862894879596e-05,0.5
38,0.0,3.547903991222749e-05,6.791805906765715,3.547903991222749e-05,5.223800620816438e-06,0.5
40,0.0,4.614834200057615e-05,3.4079106998737196,4.614834200057615e-05,1.3541534994530867e-05,0.5
42,0.0,6.081822841820507e-05,6.974721374095821,6.081822841820507e-05,8.719807596054595e-06,0.5
43,0.0,3.43117427701471e-05,3.537293755762503,3.43117427701471e-05,9.699998116992924e-06,0.5
44,0.0,5.4576014023427656e-05,0.9978249529478593,5.4576014023427656e-05,5.469497817447294e-05,0.5
45,0.0,6.0820473249537686e-05,0.9981576311460237,6.0820473249537686e-05,6.093273382051623e-05,0.5
46,0.0,9.040414232609798e-05,3.981188763898415,9.040414232609798e-05,2.2707826151295938e-05,0.5
47,0.0,4.808704463892777e-05,0.7900947046454879,4.808704463892777e-05,6.086238061866801e-05,0.5
48,0.0,6.578059249604142e-05,2.810646789201675,6.578059249604142e-05,2.3404076509636942e-05,0.5
49,0.0,6.436527757247356e-05,12.887599706925288,6.436527757247356e-05,4.994357291985582e-06,0.5
