species,wavelength_split,distortion_degree,likelihood,n_lines,delta_alpha,delta_alpha_err,chi2,dof,reduced_chi2,condition_number,orthogonalized,sigma_inflation
Fe,full,0,student_t,185,7.091354744110687e-05,0.2980644866193994,286236.0401231481,182,1572.7254951821326,1.0,False,0.5
Fe,full,0,gaussian,185,0.00014114846553058298,2.245595696514219,277335.15224690386,182,1523.819517840131,1.0,False,0.5
Fe,full,1,student_t,185,7.090833753583776e-05,0.2977455532488301,286235.9514415873,181,1581.4140963623609,138.44072285628008,True,0.5
Fe,full,1,gaussian,185,0.00011967915783209278,0.40834368594103315,278025.61378077895,181,1536.0531148109335,138.44072285628008,True,0.5
Fe,full,2,student_t,185,7.069794543992156e-05,0.96758476215524,286246.2977780851,180,1590.2572098782507,274.82314628807984,True,0.5
Fe,full,2,gaussian,185,0.001215312223954089,1.0,254599.8482125005,180,1414.4436011805583,274.82314628807984,True,0.5
Fe,blue,0,student_t,62,1.3775093488952793e-05,13.746692601987947,123153.00434967717,59,2087.3390567741894,1.0,False,0.5
Fe,blue,0,gaussian,62,3.5982768194091912e-06,0.1284792652693027,123132.42438587961,59,2086.990243828468,1.0,False,0.5
Fe,blue,1,student_t,62,1.3760465831959023e-05,13.776673654231937,123153.29463779194,58,2123.3326661688266,142.99796101167485,True,0.5
Fe,blue,1,gaussian,62,0.0015287416782079222,0.0011119692599679677,110985.18005838043,58,1913.5375872134557,142.99796101167485,True,0.5
Fe,blue,2,gaussian,62,-2.528763593846891e-06,2.656613557748264,128552.05402412871,57,2255.299193405767,316.01540338757843,True,0.5
Fe,red,0,student_t,123,8.578313623041047e-05,1.081787393503765,163345.08339658618,120,1361.209028304885,1.0,False,0.5
Fe,red,0,gaussian,123,0.00011414707557544596,0.053079200219732975,157676.6868090726,120,1313.9723900756048,1.0,False,0.5
Fe,red,1,student_t,123,8.578403311109086e-05,1.0820120935166277,163344.92763248,119,1372.646450693109,143.35786938778287,True,0.5
Fe,red,1,gaussian,123,0.00016792703335463856,0.18964753681972224,158264.4060105808,119,1329.952991685553,143.35786938778287,True,0.5
Fe,red,2,student_t,123,8.577403413672868e-05,0.998325845902572,163350.17288960755,118,1384.3234990644708,367.15278452695065,True,0.5
Fe,red,2,gaussian,123,0.0011436618972860036,0.0064131896508623195,143743.4473530066,118,1218.164808076327,367.15278452695065,True,0.5
Ni,full,0,student_t,63,4.542192692017003e-06,0.28072213742766405,177662.5750207691,60,2961.042917012818,1.0,False,0.5
Ni,full,0,gaussian,63,-0.0007514139892344801,0.04899452164317762,185297.88770248127,60,3088.2981283746876,1.0,False,0.5
Ni,full,1,student_t,63,4.731613028455387e-06,0.3356686991550939,177662.96817962988,59,3011.236748807286,120.1600592164673,True,0.5
Ni,full,1,gaussian,63,-0.0005620237384125231,6.285843516020956,183280.12162971025,59,3106.4427394866143,120.1600592164673,True,0.5
Ni,full,2,student_t,63,4.7824496143198286e-06,0.3447893472599884,177662.8866428604,58,3063.1532179803517,272.702227080807,True,0.5
Ni,full,2,gaussian,63,0.0002857727556193729,0.6315710176403105,180100.99889474784,58,3105.189636116342,272.702227080807,True,0.5
Ni,blue,0,student_t,62,-1.2470964967386517e-07,1.0,177645.95550510767,59,3010.9483983916557,1.0,False,0.5
Ni,blue,0,gaussian,62,-0.0007856889726303502,3.9777600977905285,185200.6667227802,59,3138.994351233563,1.0,False,0.5
Ni,blue,1,student_t,62,-0.00010596871774316654,33.02218539514684,176603.69933919274,58,3044.891367917116,129.99968314479125,True,0.5
Ni,blue,1,gaussian,62,-0.0007449812251100149,0.13321746917877858,183685.38614667873,58,3166.989416322047,129.99968314479125,True,0.5
Ni,blue,2,gaussian,62,-0.00029203834770245277,3.41677365730934,181422.34192077492,57,3182.8481038732443,261.2879569574467,True,0.5
both,full,0,student_t,248,3.921537764355562e-05,8.379790820494181,465986.7135610937,245,1901.986585963648,1.0,False,0.5
both,full,0,gaussian,248,-1.4005527571582922e-05,0.4235849316512599,466356.3748905131,245,1903.49540771638,1.0,False,0.5
both,full,1,gaussian,248,0.0008510399320647952,0.0023372496330068657,444394.4048531019,244,1821.2885444799258,134.06157579924187,True,0.5
both,full,2,student_t,248,3.921144477455832e-05,8.379145273152725,465987.0789261232,243,1917.642300107503,242.80022069981334,True,0.5
both,full,2,gaussian,248,-7.632211143983881e-07,2.930255677782174,492182.50555562763,243,2025.4424096939408,242.80022069981334,True,0.5
both,blue,0,gaussian,124,-0.0004334136000247964,0.008051683113447257,314072.96575584094,121,2595.6443450895945,1.0,False,0.5
both,blue,1,student_t,124,-1.2237726505832994e-07,0.997491973453176,301228.5635129268,120,2510.23802927439,139.34893571994368,True,0.5
both,blue,1,gaussian,124,0.0003691213298758237,0.0019075794061148865,297452.76458260143,120,2478.7730381883453,139.34893571994368,True,0.5
both,blue,2,gaussian,124,0.0005459497036419222,0.6774465050621543,299137.86105054774,119,2513.763538239897,209.7281383012855,True,0.5
both,red,0,student_t,124,8.918989323097858e-05,0.19190198834751704,163215.13058715218,121,1348.8853767533237,1.0,False,0.5
both,red,0,gaussian,124,0.00011180048532880033,0.25641024185365613,157737.1636435878,121,1303.6129226742792,1.0,False,0.5
both,red,1,student_t,124,8.918950513617386e-05,0.19224220223347274,163215.01289215055,120,1360.125107434588,141.07978346931858,True,0.5
both,red,1,gaussian,124,0.0001674933044426931,0.8010635900899858,158277.3731563272,120,1318.97810963606,141.07978346931858,True,0.5
both,red,2,student_t,124,8.918163867871987e-05,0.19066993466781376,163215.9138192639,119,1371.5623010022175,365.8899021930192,True,0.5
both,red,2,gaussian,124,0.001138908135724092,0.006550773866128143,143739.33446743732,119,1207.8935669532548,365.8899021930192,True,0.5
