line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1167.1020,Ni V,1167.2344543003283,0.0003553449421617217,104137.19505211624,1
Ni V_1182.6060,Ni V,1182.514149368764,0.0011120758442828308,1313.4244458829448,1
Ni V_1185.9440,Ni V,1185.944778270657,0.0009761955606208681,2076.750226596492,1
Fe V_1195.0981,Fe V,1194.9315078845664,0.0009217912550520863,3818.3678168953884,1
Ni V_1195.1890,Ni V,1194.9331973009387,0.0009041357808037092,4053.5691796756764,1
Ni V_1198.5190,Ni V,1198.5489075005378,0.0008139683783488497,3596.30085319278,1
Fe V_1198.5945,Fe V,1198.5563595819256,0.0008087447494629265,3498.5341578971015,1
Fe V_1200.1811,Fe V,1200.27221376679,0.0004946731241625306,23964.07708131233,1
Ni V_1202.0340,Ni V,1201.7252344598328,0.002938685582813301,4772.522013792439,1
Ni V_1204.7270,Ni V,1204.2317729750125,0.0010295160178526747,123830.54481455937,1
Fe V_1207.1183,Fe V,1206.6419196959423,0.0015049169757215186,134063.68976422766,1
Fe V_1208.2606,Fe V,1208.3680902079577,0.004793535815316376,107.97579193896175,1
Fe V_1214.7130,Fe V,1214.524977336099,0.0015061740920289286,2140.933416491351,1
Fe V_1217.9973,Fe V,1218.4814328289413,0.002591751223468947,15155.99895792928,1
Fe V_1224.4142,Fe V,1224.6635265563998,0.00195633318828242,4134.839742077511,1
Fe V_1228.1263,Fe V,1228.4919388292865,0.0052530741753689224,1954.8002847172327,1
Ni V_1233.3240,Ni V,1233.0182323084505,0.0011057860369693834,23226.644811893493,1
Ni V_1234.3970,Ni V,1234.5168789333682,0.0016623406427466153,1220.9759710977455,1
Ni V_1234.5840,Ni V,1234.5133281428657,0.0015065505192859742,1184.2091080729654,1
Fe V_1234.6455,Fe V,1234.5076589658693,0.0016985692346655045,1253.369179236301,1
Ni V_1235.8380,Ni V,1235.9534158652757,0.0016469624202245156,863.6326223673441,1
Ni V_1237.2050,Ni V,1237.46919933367,0.0019215437891459543,6505.161337776787,1
Ni V_1241.3330,Ni V,1241.6137834694018,0.0025265228754450765,1396.9618605540381,1
Ni V_1241.6400,Ni V,1241.645311999242,0.0018867961259106819,1059.5015030722914,1
Ni V_1241.9880,Ni V,1241.6383792926772,0.004244413954472454,1769.164345016337,1
Ni V_1243.5040,Ni V,1243.7698849214316,0.0008444601915340901,9883.836099348284,1
Ni V_1244.0260,Ni V,1243.836549275371,0.0016385894095393245,12674.909906919582,1
Ni V_1244.7880,Ni V,1244.1928000000003,0.004154252001220772,9012.05210071942,1
Ni V_1246.3650,Ni V,1246.5938808953283,0.0025791684908934827,277.610293523898,1
Ni V_1246.5490,Ni V,1246.5866553466105,0.0023715909688688383,358.52568757529804,1
Ni V_1247.6120,Ni V,1247.1354737960444,0.008566063950321234,6683.782166332094,1
Ni V_1249.5320,Ni V,1249.7269071976548,0.001217796200228599,3659.0055456862156,1
Fe V_1250.7350,Fe V,1250.49883488863,0.00031231163818493547,1898.322928417845,1
Ni V_1251.8350,Ni V,1251.3476166791224,0.024806818799102605,2587.2133014230594,1
Ni V_1252.0750,Ni V,1251.4812000000293,0.2453450308579355,2693.338682942461,1
Ni V_1252.2810,Ni V,1252.7816587884279,0.013987645298116521,2645.708697953697,1
Ni V_1253.6630,Ni V,1254.1050312142459,0.00030455250858969394,527489.532970062,1
Ni V_1254.1970,Ni V,1254.296874642155,0.00035616039151916903,1021772.3500832699,1
Ni V_1254.8660,Ni V,1254.4553454456918,0.00025315707534080066,885086.7786327943,1
Ni V_1256.2220,Ni V,1256.6310582145798,0.0003542677684692235,483885.15683155076,1
Ni V_1256.9160,Ni V,1256.9048158207443,0.0009697624537301532,676800.949784132,1
Ni V_1257.6370,Ni V,1257.216637424143,0.00036053733100661184,540118.6846680478,1
Ni V_1258.0240,Ni V,1258.4215446488322,0.0006370949424170435,127714.64630151767,1
Ni V_1259.5920,Ni V,1259.1284216030913,0.0008168023663124148,140067.45318208355,1
Ni V_1259.7270,Ni V,1259.1938834417301,0.0010966795270554136,181189.19519866718,1
Ni V_1261.1180,Ni V,1261.5681957650875,0.0027858389673712874,867.7862149484711,1
