line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1167.1020,Ni V,1167.234456837704,0.0003480825067615172,104080.96824526183,1
Ni V_1182.6060,Ni V,1182.5141096382865,0.0011119619320475822,1313.6254458976912,1
Ni V_1185.9440,Ni V,1185.9448066360592,0.0009761089758780284,2076.9168085394213,1
Ni V_1195.1890,Ni V,1194.840126479233,0.0021999567896934585,8917.423247744875,1
Ni V_1198.5190,Ni V,1198.4323953372882,0.0012413765170634324,2896.0477516561577,1
Ni V_1202.0340,Ni V,1201.7251532461294,0.0029371185280865366,4780.458023202244,1
Ni V_1204.7270,Ni V,1204.2317601341115,0.0010298895820103485,123902.72320261912,1
Ni V_1233.3240,Ni V,1233.0181962632273,0.0011054375301160298,23252.597333431288,1
Ni V_1234.3970,Ni V,1234.5204167214606,0.001331099806030599,1725.1688076014711,1
Ni V_1234.5840,Ni V,1234.5172354757167,0.0012015813288813965,1771.289591424757,1
Ni V_1235.8380,Ni V,1235.9533961067568,0.001646865574471285,863.577723657577,1
Ni V_1237.2050,Ni V,1237.469163654848,0.0019211126415497777,6504.241622624552,1
Ni V_1241.3330,Ni V,1241.6137842433457,0.002526839192582839,1396.6820040297448,1
Ni V_1241.6400,Ni V,1241.6453151267003,0.0018870299458558955,1059.4766667909164,1
Ni V_1241.9880,Ni V,1241.6383793796072,0.004244983215973816,1768.9648341331244,1
Ni V_1243.5040,Ni V,1243.7698678153758,0.0008444053709044341,9883.735944510634,1
Ni V_1244.0260,Ni V,1243.8365052988245,0.0016386638149286368,12675.136785250455,1
Ni V_1244.7880,Ni V,1244.1928000000003,0.004153827366667199,9011.57052392314,1
Ni V_1246.3650,Ni V,1246.5938640516658,0.0025775733409000713,277.8232812288558,1
Ni V_1246.5490,Ni V,1246.58663513365,0.0023700585771221747,358.87466454022956,1
Ni V_1247.6120,Ni V,1247.1355331274322,0.00856557471316386,6684.512888563575,1
Ni V_1249.5320,Ni V,1249.7269122855046,0.0012177637241940619,3659.7164694891053,1
Ni V_1251.8350,Ni V,1251.3476316712206,0.024777208920164336,2587.2246430729665,1
Ni V_1252.0750,Ni V,1251.4812000000175,0.24414021349916598,2693.43528061115,1
Ni V_1252.2810,Ni V,1252.7816108380355,0.013943503344603266,2645.6823813819015,1
