line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1167.1020,Ni V,1167.2343865197329,0.00034929193160589047,104055.86516884621,1
Ni V_1182.6060,Ni V,1182.5142177449852,0.0011122718452065733,1313.0784862278647,1
Ni V_1185.9440,Ni V,1185.9447184270643,0.0009764298772601631,2076.219511129926,1
Fe V_1195.0981,Fe V,1194.9315305296018,0.0009218459137352193,3815.5732912505946,1
Ni V_1195.1890,Ni V,1194.9332181694238,0.0009042036515789959,4050.6863270463155,1
Ni V_1198.5190,Ni V,1198.5489206203742,0.0008139929401788966,3596.1725575934424,1
Fe V_1198.5945,Fe V,1198.5563723968187,0.0008087386038992403,3498.12867823246,1
Fe V_1200.1811,Fe V,1200.2722541173343,0.0004946638679136917,23958.90422218517,1
Ni V_1202.0340,Ni V,1201.7253744828051,0.002941384756976135,4758.8868323149445,1
Ni V_1204.7270,Ni V,1204.2317820285698,0.0010303420315541378,123462.02879494679,1
Fe V_1207.1183,Fe V,1206.6419130110864,0.0015050041419227423,133996.22105344778,1
Fe V_1208.2606,Fe V,1208.3680555162982,0.004794547982385308,108.00138057831364,1
Fe V_1214.7130,Fe V,1214.5250747802452,0.0015060829853080354,2135.940332137456,1
Fe V_1217.9973,Fe V,1218.4764994170064,0.00284955895420187,13131.661038766453,1
Fe V_1224.4142,Fe V,1224.6635115851682,0.001956340963070593,4134.974487493259,1
Fe V_1228.1263,Fe V,1228.4921614603668,0.0052600717487094875,1954.1348558456386,1
Ni V_1233.3240,Ni V,1233.0183039034575,0.001106423451619297,23182.05431271087,1
Ni V_1234.3970,Ni V,1234.5168934619123,0.0016628895632974632,1220.6803891592604,1
Ni V_1234.5840,Ni V,1234.513340216811,0.0015069513414589465,1183.9727422356118,1
Fe V_1234.6455,Fe V,1234.5076746000473,0.0016990115184149204,1253.1460468277207,1
Ni V_1235.8380,Ni V,1235.9534498808202,0.0016471272755150786,863.7181475180508,1
Ni V_1237.2050,Ni V,1237.4692603810413,0.0019222793800633537,6506.699641151522,1
Ni V_1241.3330,Ni V,1241.6137821317232,0.0025259784951173238,1397.4437144490175,1
Ni V_1241.6400,Ni V,1241.645306611923,0.0018863938034480309,1059.5442749883973,1
Ni V_1241.9880,Ni V,1241.6383791631222,0.0042434335472462245,1769.5077975597808,1
Ni V_1243.5040,Ni V,1243.7699143406314,0.0008445544914423076,9884.006953801598,1
Ni V_1244.0260,Ni V,1243.8366249356586,0.0016384614726904932,12674.519737394978,1
Ni V_1244.7880,Ni V,1244.1928000000003,0.004154982641879655,9012.880829999,1
Ni V_1246.3650,Ni V,1246.5939095896358,0.002581889189702989,277.2481523263998,1
Ni V_1246.5490,Ni V,1246.5866898387233,0.002374205767984367,357.9331288385712,1
Ni V_1247.6120,Ni V,1247.1353132707163,0.008577152618853086,6682.535092775339,1
Ni V_1249.5320,Ni V,1249.728542548646,0.0012170077033909828,3844.492511374073,1
Fe V_1250.7350,Fe V,1250.4988344390047,0.00031229935039543287,1899.7890382954356,1
Ni V_1251.8350,Ni V,1251.3475851839248,0.02486153980995121,2587.194421147516,1
Ni V_1252.0750,Ni V,1251.481200000055,0.247427733621685,2693.173362936798,1
