line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Fe V_1195.0981,Fe V,1195.26400998163,0.00036878698936940256,133142.17309713914,1
Fe V_1198.5945,Fe V,1198.5872293769116,0.0008554821027673874,2544.5261418783994,1
Fe V_1200.1811,Fe V,1200.272214419866,0.0004946723281780164,23963.9787671914,1
Fe V_1207.1183,Fe V,1206.641920875681,0.0015049019624803033,134075.6553773625,1
Fe V_1208.2606,Fe V,1208.3647713890086,0.0047932626200059775,111.3553354090382,1
Fe V_1214.7130,Fe V,1214.5249591732497,0.001506188571604345,2141.876015632551,1
Fe V_1217.9973,Fe V,1218.4814299241964,0.002591053524329708,15165.783658206881,1
Fe V_1224.4142,Fe V,1224.6635283981348,0.0019563679747748963,4134.816266146909,1
Fe V_1228.1263,Fe V,1228.4918975009427,0.005251790530918048,1954.918500554915,1
Fe V_1234.6455,Fe V,1234.854470919491,0.0025771866581863804,1922.8737287836182,1
Fe V_1250.7350,Fe V,1250.4988349683194,0.0003123138231299607,1898.0655637281254,1
Fe V_1266.5218,Fe V,1266.9807572261964,0.00149536223400749,86115.61684694633,1
Fe V_1269.7855,Fe V,1270.3227833619028,0.009740066625063978,343.294560598968,1
Fe V_1270.4713,Fe V,1270.3266008206303,0.0019664660087010104,3015.7851303746315,1
Fe V_1279.5917,Fe V,1279.57628425653,0.0023540265074944106,2456.045335746299,1
Fe V_1280.4678,Fe V,1279.9232613518384,0.0047341101321838105,1455.2380123788375,1
Fe V_1280.6480,Fe V,1280.0496000000003,0.006341540524782309,3180.6645241399956,1
Fe V_1281.3672,Fe V,1281.964799999759,0.009942470581079043,449.7525551139471,1
Fe V_1281.6471,Fe V,1282.2459999999999,0.014566304563607071,502.3499065584956,1
Fe V_1282.0587,Fe V,1282.4075022150123,0.007313772836888174,754.2979552489949,1
Fe V_1284.1080,Fe V,1284.608056873385,0.0017765680754380135,29052.800907338875,1
Fe V_1285.9150,Fe V,1285.954794255778,0.0005088633452835486,4891.690315601813,1
Fe V_1288.1681,Fe V,1288.3834125476037,0.0068823308912277295,569.0559427712351,1
Fe V_1288.7231,Fe V,1288.3704342575008,0.01438197597048346,881.0814108421441,1
Fe V_1289.5369,Fe V,1289.6400906222275,0.0009441476172210979,2040.29568690134,1
Fe V_1291.1881,Fe V,1290.8604176897588,0.0013969657299452954,25304.67328001449,1
Fe V_1293.1270,Fe V,1293.271086416843,0.0007359007263936115,4854.957712669833,1
Fe V_1293.3059,Fe V,1293.2654355288564,0.0006328548901384876,4991.618554609017,1
Fe V_1297.5453,Fe V,1297.6209704332955,0.0008884073040108297,2186.008666237649,1
Fe V_1300.6095,Fe V,1300.106982274282,0.002381500077008765,23939.976267204303,1
Fe V_1300.8450,Fe V,1301.2429299016846,0.002100803012016484,6298.3117636994375,1
Fe V_1303.0834,Fe V,1303.3294958793374,0.002199348106142097,2027.9824124530828,1
Fe V_1303.4853,Fe V,1303.2794204396891,0.001718559659866086,2563.375872232028,1
Fe V_1304.8140,Fe V,1304.6705392057243,0.00021300363020398456,663886.7508231765,1
Fe V_1305.9674,Fe V,1306.1815940425931,0.0018133933644144049,3914.1220190792696,1
Fe V_1306.0803,Fe V,1306.1809181082358,0.0017968895359843384,3917.108025895374,1
Fe V_1307.2190,Fe V,1307.5179616240448,0.00196360074031962,3334.2248530905295,1
Fe V_1307.4242,Fe V,1307.4907795389338,0.0014314553478712599,3955.5137957322613,1
Fe V_1310.7510,Fe V,1311.100292919814,0.0005512100393487827,517528.50160024286,1
Fe V_1311.2378,Fe V,1310.8294079301693,0.0027782834239996283,627469.569109983,1
Fe V_1311.8290,Fe V,1311.2325214831794,4.94089786324865e-06,925261.7086933138,1
Fe V_1313.5851,Fe V,1313.420325803968,0.0007973803506288775,2873.4590072960973,1
Fe V_1314.5256,Fe V,1314.9405840817103,0.0059756370765160815,5122.307302777152,1
Fe V_1320.4116,Fe V,1320.5198830325303,0.0006044696043686992,1681.3210918140594,1
Fe V_1321.3424,Fe V,1321.5628048241936,0.0014574594167544167,4900.081784198241,1
Fe V_1321.4905,Fe V,1321.5849982219002,0.0013797818924070537,5486.601366037163,1
Fe V_1321.8507,Fe V,1321.5671156109781,0.002196015640022083,5426.865383143623,1
Fe V_1323.0938,Fe V,1323.100217114158,0.012056783712205052,4380.369621463225,1
Fe V_1323.2693,Fe V,1323.3750069251246,0.00039928413004567705,765.1679068446298,1
Fe V_1325.7838,Fe V,1326.274620544789,0.00251642549856366,21293.676746836638,1
Fe V_1327.1006,Fe V,1327.5936711132902,0.0022230491249973956,29841.314302903345,1
Fe V_1329.0215,Fe V,1329.038881842599,0.0011608592207614586,1058.3923346694305,1
Fe V_1331.1860,Fe V,1331.3197332865884,0.00041574585657997093,493115.35314385826,1
Fe V_1331.6390,Fe V,1331.242039139397,0.0006651285800181642,317572.3161383947,1
Fe V_1332.9697,Fe V,1333.1550296735352,0.0008699613511791985,5476.235705590105,1
Fe V_1336.0377,Fe V,1336.0464797566742,0.0012505434328224229,7410.0632509649595,1
Fe V_1337.2869,Fe V,1337.0751255783796,0.0037908507213767584,603.0985317468471,1
Fe V_1338.8076,Fe V,1338.3102741309262,0.001376098035358258,23580.105387120268,1
Fe V_1339.6900,Fe V,1339.943878661111,0.0011326818133217712,17711.626619971554,1
Fe V_1350.5374,Fe V,1350.0565510887775,0.0026929556700429473,3410.7681580138114,1
Fe V_1350.6724,Fe V,1351.2652182544625,0.011111433736073283,12474.85547204629,1
Fe V_1350.9483,Fe V,1351.5427999999881,0.0071670231497517325,1567.5535651563791,1
Fe V_1351.7563,Fe V,1351.8011352723568,0.001579521409630995,947.540740626887,1
Fe V_1355.6223,Fe V,1355.9071686222387,0.0011282838394731747,6946.40682018647,1
Fe V_1356.2369,Fe V,1355.9622089830293,0.001004822480932634,9351.39473728027,1
Fe V_1357.1121,Fe V,1356.552488567648,0.0015813460414413937,37967.01648584886,1
Fe V_1357.6760,Fe V,1358.1807537729874,0.0020940477583831817,7258.802672977135,1
Fe V_1357.8549,Fe V,1358.3071398892791,0.0017088684393588049,8112.665314162437,1
Fe V_1358.3840,Fe V,1358.80775750486,0.003985131690579216,1078.7422934643703,1
Fe V_1358.5646,Fe V,1358.9594843397763,0.0050781226881866925,1391.8322116560803,1
Fe V_1359.0060,Fe V,1359.0318489498914,0.002202860846763971,1019.8861713971487,1
Fe V_1359.4034,Fe V,1359.121626742527,0.0016022993740863487,5033.093750383436,1
Fe V_1361.4440,Fe V,1361.8246330393767,0.0029575640289671253,3472.539862923464,1
Fe V_1361.8280,Fe V,1361.7607087243962,0.0010641602681205696,5101.506101378075,1
Fe V_1362.8639,Fe V,1363.2088763517118,0.0020167844550316445,194764.92189365035,1
Fe V_1363.0758,Fe V,1363.672399999997,0.02336830784663269,268767.9726070134,1
Fe V_1363.6431,Fe V,1363.3184004642917,0.0005082569650457092,253584.6903665364,1
Fe V_1364.8201,Fe V,1365.0933836250683,0.005045105226858678,1386.2881666986768,1
Fe V_1365.1143,Fe V,1365.1015811561876,0.004598756393118272,2396.3872998041047,1
Fe V_1365.5742,Fe V,1365.1350637521425,0.015899509009561857,2139.6334861801142,1
Fe V_1370.3038,Fe V,1369.8072174715319,0.0022748117260291225,24491.52896836504,1
Fe V_1371.2188,Fe V,1370.8897060757756,0.0010715903485091374,17230.568033075084,1
Fe V_1371.9858,Fe V,1372.2089646140212,0.0004664362061631139,307126.9342945968,1
Fe V_1372.6536,Fe V,1372.1954201928766,0.0005839053760824512,274201.04670236213,1
Fe V_1373.5868,Fe V,1373.6011041203853,0.0012568796915180562,9165.03399175002,1
Fe V_1373.6770,Fe V,1373.609393318796,0.0013287128325906435,9369.109347054224,1
Fe V_1373.9646,Fe V,1373.6467514769067,0.0012262542198459216,8832.705430612834,1
Fe V_1374.1180,Fe V,1373.7051213569146,0.0008089281446701226,5928.536529236644,1
Fe V_1375.7851,Fe V,1375.812512637395,0.0004729142341402844,245575.5429523638,1
Fe V_1376.3367,Fe V,1375.8928158240985,0.0004823133416447356,153562.7536009405,1
Fe V_1376.4511,Fe V,1375.9654681425363,0.00044062175432636654,131176.6823583825,1
Fe V_1378.5620,Fe V,1378.9127181001636,0.0004978041033696166,269773.6354022876,1
Fe V_1379.2046,Fe V,1378.6370400673038,0.006247678573006856,172811.5401435538,1
Fe V_1380.1140,Fe V,1380.3194157390267,0.0014010443432918719,7498.848649744257,1
Fe V_1382.5606,Fe V,1382.7171515129276,0.005654378032060698,318.77868579046594,1
Fe V_1384.0585,Fe V,1384.2894031942615,0.0012889806516208585,3455.8843619211357,1
Fe V_1384.2003,Fe V,1384.326262574532,0.0012607217872456988,4179.420656670856,1
Fe V_1384.6837,Fe V,1384.3104962576272,0.00415982806972522,565.8227463794118,1
Fe V_1385.3120,Fe V,1384.7476018757989,0.005039076902906451,1330.9221790758693,1
Fe V_1386.4670,Fe V,1386.743175489171,0.0011741596221922191,15024.182783130836,1
Fe V_1388.0401,Fe V,1388.2630143894366,0.0005935917568205341,271094.74610079307,1
Fe V_1388.1938,Fe V,1388.2441015604265,0.0005131543047311205,303657.56890427077,1
