species,wavelength_aa,wavelength_unc_aa,q_cm1,wavenumber_cm1,q_unc_cm1,lower_level,upper_level,line_id
Fe V,1651.9301,0.004,1129,60535.24903989582,,3d3.(2P).4s 3P J=1,3d3.(4P).4p 5D* J=1,Fe V_1651.9301
Fe V,1652.528,0.004,1353,60513.34682377545,,3d3.(2H).4s 3H J=4,3d3.(2G).4p 3H* J=5,Fe V_1652.5280
Fe V,1654.7456,0.004,1888,60432.250129566746,,3d3.(2H).4s 3H J=5,3d3.(2G).4p 3H* J=5,Fe V_1654.7456
Fe V,1659.894,0.004,1870,60244.8108132206,,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5G* J=4,Fe V_1659.8940
Fe V,1660.5473,0.004,1969,60221.10902833061,,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 5D* J=2,Fe V_1660.5473
Fe V,1661.049,0.004,1881,60202.919962024,,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5G* J=3,Fe V_1661.0490
Fe V,1662.738,0.004,793,60141.7661712188,,3d3.(2P).4s 3P J=1,3d3.(4P).4p 3P* J=0,Fe V_1662.7380
Fe V,1668.925,0.004,2360,59918.810012433154,,3d3.(2D2).4s 1D J=2,3d3.(2G).4p 3F* J=2,Fe V_1668.9250
Fe V,1676.438,0.007,559,59650.28232478624,,3d3.(2H).4s 3H J=4,3d3.(2G).4p 3H* J=4,Fe V_1676.4380
Fe V,1699.6353,0.004,903,58836.1514967358,,3d3.(2D2).4s 3D J=3,3d3.(4P).4p 3P* J=2,Fe V_1699.6353
