run_name,grating,species,N_lines_used,delta_alpha_over_alpha,sigma_delta_alpha_over_alpha,chi2_dof,notes
run_e140h_baseline_fe,E140H,Fe V,268,-0.00023368393004530256,1.063140014805682e-05,3937.3382445868056,baseline
run_e140h_baseline_ni,E140H,Ni V,81,0.0023535864445292957,1.6224403051600734e-05,8003.170307989272,baseline
run_e140h_baseline_both,E140H,Fe V + Ni V,348,-0.0002962493046611066,8.840019162247173e-06,4890.443607030748,baseline
run_e140h_fe_cont1,E140H,Fe V,268,-0.00023517512410430497,1.058057331680322e-05,4095.8607361837494,spline_s=0.0001
run_e140h_fe_cont2,E140H,Fe V,268,-0.00023368393004530256,1.063140014805682e-05,3937.3382445868056,spline_s=0.001
run_e140h_fe_cont3,E140H,Fe V,266,-0.0002618081582771663,1.081059485447147e-05,3988.9805762263177,spline_s=0.01
run_e140h_both_cont1,E140H,Fe V + Ni V,348,-0.00025377580239947415,8.774422933180583e-06,4939.346349351534,spline_s=0.0001
run_e140h_both_cont2,E140H,Fe V + Ni V,348,-0.0002962493046611066,8.840019162247173e-06,4890.443607030748,spline_s=0.001
run_e140h_both_cont3,E140H,Fe V + Ni V,349,-0.00018678801393723205,8.801203292312377e-06,4973.626216705693,spline_s=0.01
run_e140h_fe_clip,E140H,Fe V,268,-0.00023368393004530256,1.063140014805682e-05,3937.3382445868056,sigma_clip=3
run_e140h_both_clip,E140H,Fe V + Ni V,348,-0.0002962493046611066,8.840019162247173e-06,4890.443607030748,sigma_clip=3
